Month,Quarter,nCrimeintotals
2011-01,Q1,7683
2011-02,Q1,7516
2011-03,Q1,8445
2011-04,Q2,8059
2011-05,Q2,7735
2011-06,Q2,7744
2011-07,Q3,7738
2011-08,Q3,7762
2011-09,Q3,7185
2011-10,Q4,7865
2011-11,Q4,7100
2011-12,Q4,6197
2012-01,Q1,6393
2012-02,Q1,6460
2012-03,Q1,7219
2012-04,Q2,6227
2012-05,Q2,6949
2012-06,Q2,6610
2012-07,Q3,6931
2012-08,Q3,6936
2012-09,Q3,6325
2012-10,Q4,7397
2012-11,Q4,6993
2012-12,Q4,6383
2013-01,Q1,6519
2013-02,Q1,6420
2013-03,Q1,7163
2013-04,Q2,6749
2013-05,Q2,6837
2013-06,Q2,7181
2013-07,Q3,7409
2013-08,Q3,7363
2013-09,Q3,6629
2013-10,Q4,7128
2013-11,Q4,6804
2013-12,Q4,6784
2014-01,Q1,6429
2014-02,Q1,6092
2014-03,Q1,7092
2014-04,Q2,6840
2014-05,Q2,7392
2014-06,Q2,7606
2014-07,Q3,8082
2014-08,Q3,7245
2014-09,Q3,7451
2014-10,Q4,7657
2014-11,Q4,7445
2014-12,Q4,6782
2015-01,Q1,6534
2015-02,Q1,6860
2015-03,Q1,7590
2015-04,Q2,7800
2015-05,Q2,7719
2015-06,Q2,7921
2015-07,Q3,8005
2015-08,Q3,8169
2015-09,Q3,7526
2015-10,Q4,8678
2015-11,Q4,8029
2015-12,Q4,7201
2016-01,Q1,7486
2016-02,Q1,7218
2016-03,Q1,7688
2016-04,Q2,7642
2016-05,Q2,8575
2016-06,Q2,8180
2016-07,Q3,8497
2016-08,Q3,8259
2016-09,Q3,8699
2016-10,Q4,9499
2016-11,Q4,8623